{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': '1 percent were heterozygous The serum transferrin saturation was 45 percent or higher in 15 of the 16 who were homozygous in 1 subject it was 43 percent Four of the homozygous subjects had previously been given a diagnosis of [E1] hemochromatosis [\\E1] and 12 had not Seven of these 12 patients had elevated serum ferritin levels in 1994 6 of the 7 had further increases in 1998 and 1 had a decrease although the value remained elevated The serum ferritin levels', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'D006491', 'C007955', 'D006486', 'C536394', 'D051516', 'C537249', 'C566557', 'D018056', 'D006487', 'C537247', 'D006405', 'D006431', 'D006410', 'C537248', 'D006391', 'C565801', 'D006470', 'C001332', 'C535858', 'C537254', 'D006402', 'D006488', 'D006468', 'D018216', 'D008216', 'D000747', 'D006474', 'D020138', 'C567034', 'D020786', 'D006392', 'C562438', 'D006394', 'C535861', 'D006406', 'C581942', 'D019337', 'C563215', 'D020141', 'C562937', 'D006400', 'D006483', 'C000719204', 'D002832', 'C507620', 'D006188', 'D006484', 'D006461', 'D030243', 'D010007', 'D000080365', 'C101983', 'D051359', 'D006411', 'C003001', 'C565522', 'C564415', 'C566283', 'D013927', 'D006485', 'C088771', 'C562995']}}
{'text': '3 had hepatic fibrosis and 1 who had a history of excessive alcohol consumption had cirrhosis and mild microvesicular steatosis Eight of the 16 homozygous subjects had clinical findings that were consistent with the presence of hereditary hemochromatosis such as [E1] hepatomegaly [\\E1] skin pigmentation and arthritis CONCLUSIONS In a population of white adults of northern European ancestry 0 5 percent were homozygous for the C282Y mutation in the HFE gene However only half of those who were homozygous had clinical features', 'mention_data': {'kb_id': 'D006529', 'candidates': ['D006529', 'D017444', 'C013014', 'D006648', 'D017156', 'D012880', 'D017495', 'D018197', 'D022781', 'D018219', 'C567751', 'D012873', 'C567299', 'C538655', 'D020065', 'D003878', 'C070516', 'C536270', 'D003882', 'D015361', 'D009030', 'D012868', 'D017445', 'D004886', 'D012877', 'D017496', 'D018223', 'D005489', 'C562937', 'D010859', 'C000649736', 'D006527', 'D034061', 'C540694', 'D010241', 'D012875', 'D012879', 'D007020', 'D006965', 'D019655', 'C566702', 'D004890', 'D013924', 'C564676', 'C536251', 'C537122', 'D010690', 'D046169', 'D054502', 'D043143', 'C567142', 'C567347', 'C567374', 'D019851', 'D065669', 'D017193', 'D006984', 'C567163', 'C000673300', 'D010689', 'C566516', 'D010826', 'C000719212', 'C567300']}}
{'text': 'and 1 who had a history of excessive alcohol consumption had cirrhosis and mild microvesicular steatosis Eight of the 16 homozygous subjects had clinical findings that were consistent with the presence of hereditary hemochromatosis such as hepatomegaly skin pigmentation and [E1] arthritis [\\E1] CONCLUSIONS In a population of white adults of northern European ancestry 0 5 percent were homozygous for the C282Y mutation in the HFE gene However only half of those who were homozygous had clinical features of hemochromatosis and one', 'mention_data': {'kb_id': 'D001168', 'candidates': ['D001168', 'D001172', 'D001170', 'D010003', 'D016918', 'D015535', 'D015210', 'D001171', 'D001169', 'C563037', 'D012279', 'D009260', 'D015207', 'D000544', 'D010001', 'C565798', 'D009187', 'D014399', 'C564770', 'C564622', 'D020370', 'D000092464', 'D011565', 'D009135', 'D009262', 'D004550', 'D010000', 'D008193', 'C563478', 'C538407', 'C567000', 'D010019', 'D055013', 'C566054', 'D013122', 'D010004', 'D007592', 'D001848', 'C565228', 'D010018', 'C563852', 'D001176', 'D013166', 'C562385', 'D016706', 'D004535', 'D053713', 'D009220', 'D000567', 'C565728', 'D014394', 'D010015', 'C535888', 'D012272', 'D000686', 'C536203', 'D007249', 'C579880', 'D059350', 'D005543', 'D001847', 'C566299', 'C535559', 'D006261']}}
{'text': 'skin pigmentation and arthritis CONCLUSIONS In a population of white adults of northern European ancestry 0 5 percent were homozygous for the C282Y mutation in the HFE gene However only half of those who were homozygous had clinical features of [E1] hemochromatosis [\\E1] and one quarter had serum ferritin levels that remained normal over a four year period', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'D006486', 'D006491', 'D051516', 'D006487', 'C007955', 'D006410', 'D018056', 'C537249', 'C536394', 'C566557', 'C537247', 'C001332', 'D006405', 'C537248', 'D006488', 'D006391', 'D006470', 'C535858', 'C565801', 'D006431', 'D006468', 'C537254', 'D006402', 'D020786', 'D000747', 'C507620', 'D006392', 'C567034', 'D006400', 'D006474', 'D006406', 'D008216', 'D020138', 'C562937', 'D006485', 'C562438', 'D006411', 'D051359', 'D018216', 'D006394', 'D019337', 'C535861', 'D006461', 'D020141', 'C563215', 'D034061', 'D000080365', 'D002832', 'D006395', 'D006483', 'D059165', 'C455135', 'D010007', 'C101983', 'C581942', 'D006464', 'D018496', 'D030243', 'D006484', 'D000097545', 'C000719204', 'D017488']}}
{'text': '[E1] Gardner syndrome [\\E1] in a boy with interstitial deletion of the long arm of chromosome 5 We described a 15 year old boy with Gardner syndrome GS mental retardation and craniofacial abnormalities High resolution banding analysis showed an interstitial deletion of the', 'mention_data': {'kb_id': 'D005736', 'candidates': ['D005736', 'C535645', 'C535643', 'C537230', 'C537937', 'C536708', 'C536149', 'C565382', 'D011004', 'C567439', 'C536311', 'C536514', 'C537576', 'C000611115', 'C536885', 'C565342', 'C536691', 'C536693', 'D050030', 'C565313', 'C537690', 'D016975', 'C580424', 'C538161', 'C535286', 'C537408', 'C537322', 'C535314', 'C536617', 'C562538', 'C537711', 'C537491', 'C564467', 'C537618', 'C536687', 'C537326', 'C537498', 'D000073839', 'C566361', 'D008556', 'C000730393', 'C567232', 'C562443', 'C538075', 'C535971', 'C536310', 'D009190', 'D000073842', 'D011038', 'C536725', 'C564058', 'C536240', 'C535823', 'C537611', 'C565410', 'C537763', 'D009386', 'C536984', 'C537723', 'C535321', 'C535323', 'C563120', 'D005600', 'C563392']}}
{'text': 'Gardner syndrome in a boy with interstitial deletion of the long arm of chromosome 5 We described a 15 year old boy with [E1] Gardner syndrome [\\E1] GS mental retardation and craniofacial abnormalities High resolution banding analysis showed an interstitial deletion of the long arm of chromosome 5 q22 1 q31 1 q31 1 The breakpoints in the present case and in 3 previously reported 5q', 'mention_data': {'kb_id': 'D005736', 'candidates': ['D005736', 'C535645', 'C535643', 'C537230', 'C537937', 'C536708', 'C536311', 'D011004', 'D016975', 'C536691', 'C535286', 'C537576', 'C000611115', 'C537690', 'C536149', 'C536514', 'C537491', 'C538161', 'C536885', 'C537408', 'D050030', 'C565382', 'C564467', 'C536310', 'C536687', 'C537618', 'C580424', 'C000730393', 'D014424', 'C535314', 'C536617', 'C562538', 'C536693', 'D008556', 'C562443', 'C537036', 'C565410', 'C565342', 'C536725', 'C567439', 'C535971', 'C537498', 'C535823', 'C564058', 'D000073839', 'C537326', 'C536984', 'C567819', 'C563392', 'C538075', 'C535295', 'C535623', 'C535909', 'C535768', 'C536962', 'C537711', 'C537058', 'C538160', 'C537611', 'C536292', 'D011038', 'C565409', 'C537322', 'C537723']}}
{'text': 'Gardner syndrome in a boy with interstitial deletion of the long arm of chromosome 5 We described a 15 year old boy with Gardner syndrome GS mental retardation and [E1] craniofacial abnormalities [\\E1] High resolution banding analysis showed an interstitial deletion of the long arm of chromosome 5 q22 1 q31 1 q31 1 The breakpoints in the present case and in 3 previously reported 5q patients with adenomatous polyposis coli suggest', 'mention_data': {'kb_id': 'D019465', 'candidates': ['D019465', 'C564271', 'D003395', 'C536456', 'D000077275', 'C564263', 'C562966', 'C565667', 'C564241', 'D003394', 'C564332', 'C565731', 'C565147', 'D019767', 'D007569', 'C567039', 'C562940', 'C562974', 'C565580', 'C536790', 'D009008', 'C535597', 'C566524', 'Q000002', 'C565666', 'C563471', 'D000016', 'C565118', 'C567275', 'C565665', 'D009056', 'D063169', 'C567298', 'C536788', 'D003397', 'C564700', 'D005124', 'C565579', 'D018640', 'C567471', 'D009139', 'D003398', 'D014071', 'C535598', 'D000015', 'D018376', 'C536570', 'D003390', 'C536455', 'D012868', 'D003399', 'D009063', 'D009811', 'C565145', 'D000094602', 'D005153', 'C566522', 'C565822', 'D000013', 'C564262', 'C566543', 'C565663', 'C536182', 'D013733']}}
{'text': 'mental retardation and craniofacial abnormalities High resolution banding analysis showed an interstitial deletion of the long arm of chromosome 5 q22 1 q31 1 q31 1 The breakpoints in the present case and in 3 previously reported 5q patients with [E1] adenomatous polyposis coli [\\E1] suggest that the gene responsible for GS/or familial polyposis coli FPC is in the 5q22 region a result consistent with the findings of linkage studies', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'C563250', 'D008949', 'C090876', 'D018262', 'C031511', 'D025601', 'C000671802', 'C062351', 'C407009', 'C061075', 'C000675466', 'D017188', 'C538265', 'C538110', 'D062788', 'C520193', 'C010671', 'D018194', 'C017991', 'C538229', 'C526457', 'D018196', 'C000640096', 'C048567', 'C000647651', 'D000236', 'C019606', 'C044618', 'D000261', 'C538232', 'D000235', 'D018266', 'D000238', 'C000613192', 'C022571', 'C018444', 'C018446', 'C564876', 'C011626', 'C049518', 'D000260', 'C000638457', 'C017990', 'C028533', 'C015651', 'C030812', 'C080528', 'C026520', 'D000257', 'C022570', 'C535644', 'C049300', 'C018808', 'D007516', 'C566310', 'C000682606', 'C079777', 'C000691299', 'C520437']}}
{'text': 'Over correction of FMR1 deficiency with YAC transgenics behavioral and physical features [E1] Fragile X syndrome [\\E1] is a common cause of mental retardation involving loss of expression of the FMR1 gene The role of FMR1 remains undetermined but the protein appears to be involved in RNA metabolism Fmr1 knockout mice exhibit a phenotype with some', 'mention_data': {'kb_id': 'D005600', 'candidates': ['D005600', 'C564105', 'C535318', 'C563491', 'C536708', 'C538258', 'C536193', 'C536240', 'C538160', 'C537936', 'C564072', 'C535290', 'C537293', 'C538388', 'D005171', 'C537058', 'C535913', 'C562446', 'C535286', 'D008133', 'C536759', 'D013577', 'C567925', 'C537451', 'C535292', 'C535981', 'D051860', 'C535713', 'C563120', 'C538245', 'C562782', 'C564435', 'D038901', 'C536108', 'C563023', 'C537102', 'C536732', 'C537157', 'D009190', 'D005173', 'C536089', 'D000073839', 'C535459', 'D020386', 'C563339', 'C536025', 'C563805', 'C567043', 'C535949', 'D003057', 'C580457', 'C536030', 'C567061', 'C537076', 'C537587', 'C537937', 'C537690', 'C567819', 'C563051', 'C537280', 'C537408', 'D065886', 'C536621', 'C538381']}}
{'text': 'involved in RNA metabolism Fmr1 knockout mice exhibit a phenotype with some similarities to humans such as macroorchidism and behavioral abnormalities As a step toward understanding the function of FMR1 and the determination of the potential for therapeutic approaches to [E1] fragile X syndrome [\\E1] yeast artificial chromosome YAC transgenic mice were generated in order to determine whether the Fmr1 knockout mouse phenotype could be rescued Several transgenic lines were generated that carried the entire FMR1 locus with extensive amounts of flanking sequence We', 'mention_data': {'kb_id': 'D005600', 'candidates': ['D005600', 'C564105', 'C536193', 'C535318', 'C564072', 'C536240', 'C562446', 'C538258', 'C563491', 'C537058', 'C535290', 'D005173', 'C535713', 'C537936', 'C538160', 'D005171', 'C538388', 'C567925', 'C537587', 'C536708', 'C567061', 'C537293', 'D051860', 'D007153', 'C537408', 'D009386', 'C535286', 'C535321', 'D008133', 'C536732', 'D013577', 'C537280', 'C536108', 'C537937', 'D009190', 'C537887', 'C537690', 'C535913', 'C537377', 'C566739', 'C538245', 'C567043', 'C537451', 'C563051', 'C563805', 'C538225', 'C563023', 'C536025', 'C535981', 'D000073839', 'C537888', 'C535292', 'C535459', 'C538342', 'C563339', 'C537625', 'C563831', 'D053632', 'C537585', 'D003057', 'C538381', 'C562625', 'C564275', 'C537157']}}
{'text': 'The mouse displayed reduced anxiety related responses with increased exploratory behavior FMR1 YAC transgenic mice overexpressing the human protein did produce opposing behavioral responses and additional abnormal behaviors were also observed These findings have significant implications for gene therapy for [E1] fragile X syndrome [\\E1] since overexpression of the gene may harbor its own phenotype', 'mention_data': {'kb_id': 'D005600', 'candidates': ['D005600', 'C564105', 'C535318', 'C537058', 'C564072', 'C538258', 'C536193', 'C563491', 'C538160', 'C535713', 'C536240', 'C537936', 'C535290', 'C535286', 'C537451', 'C567925', 'C538388', 'D013577', 'C537690', 'C567061', 'C536708', 'C562446', 'D008133', 'D051860', 'C537157', 'D005171', 'D005173', 'C537293', 'C535913', 'C538245', 'C535292', 'C563120', 'C562782', 'C538381', 'C537377', 'C536108', 'C535949', 'C563805', 'C537529', 'C538342', 'C566739', 'C548029', 'C537887', 'C535459', 'C563023', 'C537280', 'C537937', 'C536089', 'C536025', 'C535981', 'C537587', 'D009190', 'D000073839', 'D017681', 'C538225', 'C580457', 'C536732', 'C563339', 'C537348', 'D007153', 'C535829', 'C538106', 'C562626', 'C564435']}}
{'text': '[E1] Fabry disease [\\E1] identification of novel alpha galactosidase A mutations and molecular carrier detection by use of fluorescent chemical cleavage of mismatches Fabry disease FD angiokeratoma corporis diffusum is an X linked inborn error of glycosphingolipid metabolism caused by defects in the', 'mention_data': {'kb_id': 'D000795', 'candidates': ['D000795', 'C567062', 'C536275', 'C538069', 'C536231', 'C536004', 'C538098', 'C536848', 'C565578', 'C567176', 'C531642', 'D005211', 'C536961', 'C531622', 'C538636', 'C536388', 'C536598', 'C564329', 'D010505', 'C536610', 'C000591739', 'D005208', 'C536228', 'C565728', 'C000678284', 'C579754', 'C538011', 'C565025', 'C563219', 'C564330', 'C536611', 'D007873', 'C565022', 'C538489', 'C580075', 'C531624', 'C564427', 'C563324', 'D000080345', 'D008061', 'D053098', 'D005355', 'D001404', 'C565577', 'D002318', 'C564977', 'C564366', 'D008380', 'C535891', 'D019115', 'C531673', 'C538572', 'D017772', 'C565024', 'C566172', 'C536847', 'C537613', 'D006105', 'C537238', 'D016778', 'D000071070', 'C563666', 'D001796', 'C566987']}}
{'text': 'Fabry disease identification of novel alpha galactosidase A mutations and molecular carrier detection by use of fluorescent chemical cleavage of mismatches [E1] Fabry disease [\\E1] FD angiokeratoma corporis diffusum is an X linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha galactosidase A gene GLA The enzymatic defect leads to the systemic accumulation of neutral glycosphingolipids with terminal alpha galactosyl', 'mention_data': {'kb_id': 'D000795', 'candidates': ['D000795', 'C567062', 'C536275', 'C538069', 'C538098', 'C536231', 'C536004', 'C536848', 'C579754', 'C565578', 'D005355', 'C538011', 'D005211', 'C531642', 'C567176', 'D005208', 'C536598', 'C564329', 'C538636', 'C536961', 'C536610', 'D004194', 'C536388', 'C000678284', 'D010505', 'C531622', 'C565728', 'C564330', 'D053098', 'D006105', 'D002318', 'C563219', 'C564366', 'C537613', 'D008061', 'C564977', 'C536252', 'D001404', 'C000591739', 'C531624', 'C563324', 'C531673', 'C565025', 'D009135', 'D056660', 'C580075', 'D009196', 'D035583', 'D002908', 'C562492', 'D000080345', 'C567437', 'C538489', 'C536228', 'C565022', 'C564923', 'C567857', 'C566987', 'D019115', 'D000544', 'D020274', 'C537849', 'D007873', 'D011469']}}
{'text': 'an X linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha galactosidase A gene GLA The enzymatic defect leads to the systemic accumulation of neutral glycosphingolipids with terminal alpha galactosyl moieties Clinically affected hemizygous males have [E1] angiokeratoma [\\E1] severe acroparesthesia renal failure and vasculopathy of the heart and brain While demonstration of alpha galactosidase deficiency in leukocytes is diagnostic in affected males enzymatic detection of female carriers is often inconclusive due to random X chromosomal inactivation underlining', 'mention_data': {'kb_id': 'D000794', 'candidates': ['D000794', 'D000799', 'D000798', 'D016888', 'C563940', 'C567088', 'D054179', 'D000096482', 'C566323', 'C537742', 'D000169', 'C536369', 'C536367', 'C537441', 'D018229', 'C538173', 'C566069', 'D016917', 'D000783', 'C536362', 'C566529', 'C536957', 'C563160', 'D014973', 'C538248', 'D018322', 'C566621', 'C535979', 'D016657', 'C573722', 'C536364', 'D000785', 'C563478', 'C535978', 'D011855', 'D004476', 'D017488', 'C535658', 'C536347', 'C537295', 'C538245', 'C567411', 'C535662', 'D017130', 'C564538', 'C537737', 'C564574', 'C567416', 'D009959', 'D004604', 'D020787', 'C565784', 'C037859', 'D028243', 'C566187', 'C567605', 'C579880', 'C565864', 'C538237', 'D008590', 'C537428', 'C565068', 'C536444', 'D000712']}}
{'text': 'Evidence for linkage of [E1] bipolar disorder [\\E1] to chromosome 18 with a parent of origin effect A susceptibility gene on chromosome 18 and a parent of origin effect have been suggested for bipolar affective disorder BPAD We have studied 28 nuclear families selected for apparent unilineal', 'mention_data': {'kb_id': 'D001714', 'candidates': ['D001714', 'D000068105', 'D003866', 'D003865', 'D019964', 'D016584', 'D016574', 'C047556', 'C000663637', 'D040921', 'D001523', 'D011618', 'D061218', 'D003863', 'D010554', 'D001321', 'D000087122', 'C000663620', 'D019263', 'C000663615', 'D000341', 'D000067877', 'D012559', 'C000663649', 'D000275', 'C535629', 'C000658426', 'C000663665', 'D006816', 'C567073', 'C535713', 'D009497', 'C000663634', 'D014029', 'D019970', 'D003291', 'D013313', 'D019969', 'C000663666', 'C538396', 'C538342', 'D019966', 'D001008', 'C000663661', 'D020178', 'D010259', 'C000663633', 'C000695714', 'D008881', 'C000663636', 'D003864', 'C000663640', 'C567530', 'C000697437', 'D040701', 'D012920', 'D019955', 'C000663621', 'C000663631', 'C567531', 'C536896', 'D000471', 'C000663614', 'C538355']}}
